"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2776",45.7842486704227,38.9898204124332,52.5786769284122,35.3930673561214,56.175429984724
"2777",47.4552043505115,38.3700237376405,56.5403849633825,33.5606196353801,61.3497890656428
"2778",48.4142876337182,38.8223983686577,58.0061768987787,33.7447589088043,63.0838163586321
"2779",48.3992618567405,38.5650825167751,58.2334411967059,33.3591824389067,63.4393412745744
"2780",48.1459205978676,38.1316473281736,58.1601938675617,32.8304112827183,63.4614299130169
"2781",48.1095737533512,37.9640232994658,58.2551242072366,32.5932933105122,63.6258541961902
"2782",48.2450156038766,37.9914111962327,58.4986200115204,32.5634808993695,63.9265503083837
"2783",48.9714368408451,38.6164668891765,59.3264067925137,33.1348769146432,64.807996767047
"2784",49.8126475968586,39.3424909824134,60.2828042113039,33.7999248718968,65.8253703218205
"2785",49.8943520408454,39.3110197908591,60.4776842908317,33.7085421178716,66.0801619638192
"2786",49.6284385303684,38.9351931687096,60.3216838920273,33.2745310090625,65.9823460516744
"2787",49.462638864985,38.6520876579321,60.2731900720379,32.9293275347885,65.9959501951816
"2788",49.4403047339998,38.5163517494456,60.364257718554,32.7335603515086,66.147049116491
"2789",50.0733753094745,39.0303350169421,61.1164156020068,33.1845026061819,66.962248012767
"2790",50.9189106872947,39.7361810871025,62.1016402874869,33.8164016236718,68.0214197509177
"2791",51.1214251601535,39.7958199139073,62.4470304063996,33.8004066521489,68.4424436681581
"2792",50.9362321895308,39.4671754626986,62.4052889163629,33.3958235742245,68.4766408048371
"2793",50.6962963182657,39.0762734776289,62.3163191589024,32.9250049559064,68.4675876806249
"2794",50.5414315130648,38.7758934263648,62.3069695997648,32.5475937864753,68.5352692396543
"2795",51.0671686322838,39.1510740533005,62.9832632112671,32.8430746206976,69.29126264387
"2796",51.8959497626243,39.8096216883949,63.9822778368538,33.411506086916,70.3803934383327
"2797",52.2137283237886,39.9533065569853,64.4741500905919,33.4630313216015,70.9644253259757
"2798",52.1296810316578,39.693156011338,64.5662060519777,33.1096573447453,71.1497047185704
"2799",51.8516469670888,39.2328652241572,64.4704287100203,32.5528856765844,71.1504082575931
"2800",51.5798208745846,38.7863423633899,64.3732993857793,32.0138839329267,71.1457578162425
"2801",51.9813472743186,39.009801981108,64.9528925675293,32.1430806902354,71.8196138584018
"2802",52.7662262247286,39.599201772935,65.9332506765222,32.6290000662892,72.903452383168
"2803",53.1837318945575,39.8170862895684,66.5503774995466,32.7412115276487,73.6262522614662
"2804",53.2132612138512,39.6435711133634,66.7829513143389,32.460211088222,73.9663113394804
"2805",52.9314320144325,39.1536553847451,66.7092086441198,31.8601410049681,74.0027230238968
"2806",52.5633413995321,38.5865503534216,66.5401324456425,31.1876841054167,73.9389986936474
"2807",52.8304266204719,38.6531200047369,67.0077332362069,31.1481072260012,74.5127460149426
"2808",53.5449383191424,39.1525572881763,67.9373193501085,31.5336909913896,75.5561856468952
"2809",54.0407813606204,39.4291432170863,68.6524195041546,31.6942092160273,76.3873535052135
"2810",54.1894241103586,39.3537449792585,69.0251032414586,31.5002108434761,76.878637377241
"2811",53.9357054370052,38.8715936028772,68.9998172711332,30.8971344986382,76.9742763753721
"2812",53.4966216148153,38.2139383174036,68.7793049122269,30.1237744696988,76.8694687599318
"2813",53.6264190624217,38.1254510552024,69.127387069641,29.9197342621525,77.3331038626909
"2814",54.246648590565,38.5159120634362,69.9773851176937,30.1885631631877,78.3047340179422
"2815",54.7950959245611,38.8306283203057,70.7595635288165,30.3795496617775,79.2106421873447
"2816",55.0613257893324,38.8571648412796,71.2654867373853,30.2792001911497,79.8434513875152
"2817",54.8637210897475,38.4156796578839,71.311762521611,29.7086124781204,80.0188297013745
"2818",54.3821017609901,37.7001435181405,71.0640600038397,28.8692482585311,79.894955263449
"2819",54.3791389645989,37.4650935034406,71.2931844257572,28.5113386918445,80.2469392373533
"2820",54.8852014197945,37.7306424646017,72.0397603749872,28.6495675000942,81.1208353394947
"2821",55.4577681624031,38.059219145111,72.8563171796951,28.8489836437278,82.0665526810783
"2822",55.8331687107298,38.1837718407548,73.4825655807049,28.8407455074505,82.8255919140092
"2823",55.7144651798486,37.8098947362327,73.6190356234645,28.3317876726546,83.0971426870427
"2824",55.2203742910808,37.0701106555737,73.370637926588,27.4619414726684,82.9788071094933
"2825",55.0961300292584,36.7032081272744,73.4890519312425,26.9665834175095,83.2256766410074
"2826",55.4733764039825,36.8322535609576,74.1144992470075,26.9642392096554,83.9825135983097
"2827",56.0405227795222,37.1484530906855,74.932592468359,27.1475955036652,84.9334500553792
"2828",56.5103501194629,37.3599240430397,75.6607761958861,27.2223008458186,85.7983993931072
"2829",56.4871038331632,37.0736447431035,75.900562923223,26.7967802793939,86.1774273869326
"2830",56.0105561381207,36.3426010961421,75.6785111800993,25.9310146134302,86.0900976628112
"2831",55.782667158667,35.8640760892279,75.7012582281061,25.3198109080942,86.2455234092398
"2832",56.0225620805832,35.8503992010381,76.1947249601283,25.1719012120267,86.8732229491397
"2833",56.5554061006647,36.1278572450481,76.9829549562813,25.3141660867079,87.7966461146215
"2834",57.0995039350826,36.4089749649282,77.790032905237,25.4560705431909,88.7429373269744
"2835",57.1813774388385,36.2227561060759,78.1399987716012,25.1279321602856,89.2348227173914
